^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS4096
!dataset_title = Mutant p53 depletion effect on MDA-468.shp53 breast tumor cell line
!dataset_description = Analysis of MDA-468.shp53 cells cultured under 3D conditions in the presence of DOX.  These cells express a DOX-inducible shRNA targeting endogenous mutant p53. The p53-reduced cells have an invasive, highly disorganized appearance. Results provide insight into role of mutant p53 in breast cancer.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 22265415
!dataset_platform = GPL6244
!dataset_platform_organism = Homo sapiens
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 33297
!dataset_sample_organism = Homo sapiens
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 6
!dataset_value_type = transformed count
!dataset_reference_series = GSE31812
!dataset_order = none
!dataset_update_date = Jun 07 2012
^SUBSET = GDS4096_1
!subset_dataset_id = GDS4096
!subset_description = doxycycline present
!subset_sample_id = GSM789232,GSM789234,GSM789236
!subset_type = growth protocol
^SUBSET = GDS4096_2
!subset_dataset_id = GDS4096
!subset_description = doxycycline absent
!subset_sample_id = GSM789231,GSM789233,GSM789235
!subset_type = growth protocol
^DATASET = GDS4096
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM789232 = Value for GSM789232: MDA-468.shp53 cells_3D culture, 8 days, +DOX_rep1; src: MDA-468.shp53 cells grown in 3D culture for 8 days in the presence of doxycycline (+DOX)
#GSM789234 = Value for GSM789234: MDA-468.shp53 cells_3D culture, 8 days, +DOX_rep2; src: MDA-468.shp53 cells grown in 3D culture for 8 days in the presence of doxycycline (+DOX)
#GSM789236 = Value for GSM789236: MDA-468.shp53 cells_3D culture, 8 days, +DOX_rep3; src: MDA-468.shp53 cells grown in 3D culture for 8 days in the presence of doxycycline (+DOX)
#GSM789231 = Value for GSM789231: MDA-468.shp53 cells_3D culture, 8 days, -DOX_rep1; src: MDA-468.shp53 cells grown in 3D culture for 8 days in the absence of doxycycline (-DOX)
#GSM789233 = Value for GSM789233: MDA-468.shp53 cells_3D culture, 8 days, -DOX_rep2; src: MDA-468.shp53 cells grown in 3D culture for 8 days in the absence of doxycycline (-DOX)
#GSM789235 = Value for GSM789235: MDA-468.shp53 cells_3D culture, 8 days, -DOX_rep3; src: MDA-468.shp53 cells grown in 3D culture for 8 days in the absence of doxycycline (-DOX)
!dataset_table_begin
ID_REF	IDENTIFIER	GSM789232	GSM789234	GSM789236	GSM789231	GSM789233	GSM789235
7896736	chr1:53049-54936	null	null	null	null	null	null
7896738	chr1:63015-63887	null	null	null	null	null	null
7896740	OR4F17	null	null	null	null	null	null
7896742	LOC100134822	null	null	null	null	null	null
7896744	OR4F29	null	null	null	null	null	null
7896746	chr1:564951-565019	8.29955	7.20262	8.3343	8.41711	8.51987	7.13814
7896748	chr1:566062-566129	null	null	null	null	null	null
7896750	chr1:568069-568136	null	null	null	null	null	null
7896752	M37726	null	null	null	null	null	null
7896754	LOC100287934	null	null	null	null	null	null
7896756	FAM87B	6.59473	6.67047	6.53501	6.5472	6.75444	6.89181
7896759	LINC01128	7.68808	7.40509	7.65582	7.81675	7.80703	7.86267
7896761	SAMD11	7.72802	7.85591	7.69456	7.48635	7.63937	7.89681
7896779	KLHL17	8.56073	8.47403	8.44666	8.26001	8.58068	8.42368
7896798	PLEKHN1	8.27655	8.26439	8.19077	8.17049	8.33153	8.3861
7896817	ISG15	8.1543	8.22345	8.24154	8.16128	8.3293	8.25015
7896822	AGRN	10.5041	9.69041	9.77242	10.3255	10.2274	10.0418
7896859	MIR200B	7.89351	7.86332	7.75665	7.78906	7.85199	7.93679
7896861	MIR200A	6.00099	5.86526	5.62388	5.79624	5.94951	5.6599
7896863	MIR429	7.15273	7.22718	7.33511	7.57293	7.18126	7.19474
7896865	TTLL10	8.50074	8.57879	8.50041	8.53074	8.42992	8.60346
7896878	B3GALT6	9.57831	9.25542	9.29146	9.05122	9.21383	9.07549
7896882	SCNN1D	8.17525	8.03428	8.09116	8.21124	8.15676	8.2306
7896908	PUSL1	9.95718	9.94784	10.0317	9.68595	10.0146	9.98057
7896917	CPTP	9.03367	9.06915	9.08697	8.69895	8.9657	8.90377
7896921	TAS1R3	7.86089	7.89207	7.79177	7.88666	7.77033	7.89809
7896929	VWA1	8.61689	8.54323	8.45266	8.61025	8.6346	8.84652
7896937	ATAD3C	6.86297	6.98864	6.94279	6.81107	6.97227	6.97148
7896952	ATAD3A	10.1698	10.1379	10.1311	9.87976	10.0263	9.96997
7896961	ATAD3C	9.78146	9.62951	9.70678	9.43873	9.54066	9.5006
7896983	SSU72	7.24223	7.24639	7.22072	7.08629	7.35148	7.54297
7896985	MIB2	8.83321	8.83876	8.75728	8.50553	8.69521	8.70744
7897006	MMP23A	8.80837	8.7971	8.78035	8.72389	8.75766	8.92004
7897026	CALML6	6.9632	7.07683	7.00864	7.09452	7.14702	7.14166
7897034	GABRD	8.32593	8.37292	8.37323	8.31625	8.28412	8.407
7897044	PRKCZ	8.74845	9.02402	8.96106	8.60869	8.76872	8.70613
7897066	FAAP20	7.26564	7.40552	7.26824	7.29885	7.30421	7.52386
7897068	SKI	10.3319	10.0695	10.0282	10.2157	10.0243	10.0966
7897076	MORN1	7.14911	7.19011	7.14774	7.03265	6.85446	7.36855
7897078	RER1	10.0459	10.0298	10.1055	9.82584	9.99709	9.76585
7897089	PLCH2	8.10884	8.08719	8.07666	8.002	7.97159	8.12257
7897119	FAM213B	9.15045	9.20251	9.11962	9.12671	9.31028	9.18873
7897128	ACTRT2	7.4181	7.55779	7.30675	7.36844	7.40596	7.57186
7897132	PRDM16	7.46258	7.53555	7.41605	7.33454	7.47495	7.84968
7897154	ARHGEF16	8.78803	8.58057	8.64755	8.56597	8.66485	8.54154
7897172	TPRG1L	9.25198	9.6288	9.42613	9.03796	9.41954	9.14793
7897179	TP73	8.10514	7.97957	7.97888	8.41379	8.36065	8.44858
7897196	CCDC27	7.5281	7.57001	7.48397	7.41711	7.4878	7.66645
7897210	DFFB	8.10808	8.10811	8.07557	8.13598	8.08269	8.41268
7897227	AJAP1	6.28065	6.22178	6.16179	6.27701	6.09126	6.48067
7897236	KCNAB2	7.58591	7.75633	7.73286	7.57358	7.72808	7.78725
7897257	RNF207	8.32812	8.18167	8.22045	8.27636	8.30415	8.26869
7897263	RNF207	8.07014	7.84552	7.84064	8.24702	8.04073	8.10523
7897277	LINC00337	7.0414	7.11231	6.85011	7.06183	6.87301	7.16847
7897280	HES3	7.91463	8.05488	7.92252	7.71925	7.94792	8.18503
7897286	LOC100130071	8.68614	8.70191	8.41646	8.67708	8.48659	8.65803
7897288	ESPN	9.06441	8.86311	9.01422	8.8779	9.03161	9.1896
7897293	chr1:6600914-6600994	7.52527	7.39803	7.21942	7.38395	7.39731	7.71072
7897295	TAS1R1	7.26017	7.31511	7.21387	7.21956	7.354	7.45263
7897305	ZBTB48	7.43841	7.59697	7.3801	7.31658	7.33245	7.45887
7897322	PHF13	8.1689	8.32775	8.37653	8.33068	8.59645	8.40448
7897329	THAP3	7.75172	7.74211	7.95828	7.49533	7.62745	7.56898
7897339	CAMTA1	7.12785	7.39835	7.03699	7.14451	7.24046	7.32597
7897368	chr1:7279420-7279584	6.2976	6.28488	6.29066	6.02371	6.35668	6.44254
7897370	VAMP3	9.76717	10.1072	10.1864	9.97246	10.1128	10.1644
7897378	PER3	9.62446	9.73261	9.76135	9.69922	9.6238	9.6218
7897404	PARK7	11.1972	11.5513	11.3971	11.2114	11.6175	11.4046
7897416	SLC45A1	7.16055	7.22248	7.18997	6.96343	7.22387	7.42801
7897422	chr1:8388127-8388237	6.02969	5.97955	5.86768	6.08614	5.84442	6.17106
7897424	chr1:8953568-8953840	6.83614	6.80184	6.55842	6.84086	7.29965	7.00552
7897426	CA6	6.43464	6.53223	6.55699	6.38752	6.44758	6.51134
7897439	chr1:9142755-9142938	6.83616	6.71874	6.64403	6.65793	6.6263	6.66218
7897441	H6PD	8.59367	8.2974	8.33237	8.33547	8.25985	8.03101
7897449	SPSB1	8.54842	8.65036	8.61871	8.35874	8.30038	8.49203
7897460	SLC25A33	9.05648	9.31029	9.42735	8.9136	9.21877	9.18139
7897469	TMEM201	8.26729	8.02366	8.20685	8.38443	8.50288	8.35587
7897482	PIK3CD	7.72491	7.6708	7.62484	7.75915	7.73568	7.85607
